# tau / ps;  MSD / pm^2;  Derivative
3.480000; 8191.026087; 1080.565714
3.492000; 8203.992876; 1314.883982
3.504000; 8219.771484; 918.904233
3.516000; 8230.798334; 977.106136
3.528000; 8242.523608; 1252.002393
3.540000; 8257.547637; 986.912172
3.552000; 8269.390583; 1251.064931
3.564000; 8284.403362; 1341.341542
3.576000; 8300.499460; 1113.097698
3.588000; 8313.856633; 701.628592
3.600000; 8322.276176; 1250.279379
3.612000; 8337.279528; 1207.975544
3.624000; 8351.775235; 780.794636
3.636000; 8361.144771; 1033.992147
3.648000; 8373.552676; 1339.298098
3.660000; 8389.624254; 766.995530
3.672000; 8398.828200; 804.961662
3.684000; 8408.487740; 1189.439672
3.696000; 8422.761016; 1020.137771
3.708000; 8435.002669; 1141.099977
3.720000; 8448.695869; 911.807946
3.732000; 8459.637564; 978.540974
3.744000; 8471.380056; 724.773601
3.756000; 8480.077339; 1245.647580
3.768000; 8495.025110; 977.172661
3.780000; 8506.751182; 617.319574
3.792000; 8514.159017; 1045.181451
3.804000; 8526.701194; 709.648788
3.816000; 8535.216980; 693.179290
3.828000; 8543.535131; 1024.638535
3.840000; 8555.830794; 939.438609
3.852000; 8567.104057; 824.935200
3.864000; 8577.003279; 598.097501
3.876000; 8584.180449; 809.458096
3.888000; 8593.893947; 792.711774
3.900000; 8603.406488; 674.430534
3.912000; 8611.499654; 780.635671
3.924000; 8620.867282; 1127.860558
3.936000; 8634.401609; 704.399724
3.948000; 8642.854406; 1033.207961
3.960000; 8655.252901; 1055.382724
3.972000; 8667.917494; 654.892919
3.984000; 8675.776209; 1300.851596
3.996000; 8691.386428; 672.542469
4.008000; 8699.456938; 1545.161676
4.020000; 8717.998878; 989.218100
4.032000; 8729.869495; 907.936409
4.044000; 8740.764732; 1631.258619
4.056000; 8760.339835; 978.943866
4.068000; 8772.087162; 819.504729
4.080000; 8781.921218; 1756.580898
4.092000; 8803.000189; 863.363637
4.104000; 8813.360553; 1396.095061
4.116000; 8830.113694; 1326.276457
4.128000; 8846.029011; 1064.405166
4.140000; 8858.801873; 941.130737
4.152000; 8870.095442; 694.868747
4.164000; 8878.433867; 1268.234954
4.176000; 8893.652686; 831.342868
4.188000; 8903.628801; 517.158709
4.200000; 8909.834705; 1040.998225
4.212000; 8922.326684; 567.511568
4.224000; 8929.136823; 404.109790
4.236000; 8933.986140; 1280.802148
4.248000; 8949.355766; 162.018692
4.260000; 8951.299990; 883.515475
4.272000; 8961.902176; 679.521589
4.284000; 8970.056435; 1275.313897
4.296000; 8985.360202; 821.546908
4.308000; 8995.218765; 840.168693
4.320000; 9005.300789; 1093.021253
4.332000; 9018.417044; 636.689908
4.344000; 9026.057323; 847.098890
4.356000; 9036.222510; 763.379882
4.368000; 9045.383068; 1184.674266
4.380000; 9059.599159; 1228.235589
4.392000; 9074.337987; 976.162183
4.404000; 9086.051933; 1105.388456
4.416000; 9099.316594; 1262.006235
4.428000; 9114.460669; 1094.917530
4.440000; 9127.599679; 1328.201193
4.452000; 9143.538094; 1172.350277
4.464000; 9157.606297; 1032.413638
4.476000; 9169.995261; 1260.672722
4.488000; 9185.123333; 1348.912563
4.500000; 9201.310284; 1031.312503
4.512000; 9213.686034; 595.058504
4.524000; 9220.826736; 1333.678600
4.536000; 9236.830879; 928.609728
4.548000; 9247.974196; 721.378901
4.560000; 9256.630743; 1414.384915
4.572000; 9273.603362; 1409.412326
4.584000; 9290.516310; 1008.216447
4.596000; 9302.614907; 1571.276202
4.608000; 9321.470222; 1354.831324
4.620000; 9337.728198; 1630.893519
4.632000; 9357.298920; 1274.381808
4.644000; 9372.591501; 1758.122932
4.656000; 9393.688977; 1540.670886
4.668000; 9412.177027; 1763.575039
4.680000; 9433.339928; 1499.073592
4.692000; 9451.328811; 1330.786753
4.704000; 9467.298252; 1145.408159
4.716000; 9481.043150; 1175.671418
4.728000; 9495.151207; 1107.564120
4.740000; 9508.441976; 944.179671
4.752000; 9519.772132; 1386.204141
4.764000; 9536.406582; 1082.743522
4.776000; 9549.399504; 1411.247554
4.788000; 9566.334475; 1015.026682
4.800000; 9578.514795; 1298.618611
4.812000; 9594.098218; 1080.941909
4.824000; 9607.069521; 1580.179207
4.836000; 9626.031672; 811.431724
4.848000; 9635.768852; 1275.845547
4.860000; 9651.078999; 1194.283183
4.872000; 9665.410397; 1706.605720
4.884000; 9685.889666; 456.351401
4.896000; 9691.365883; 1286.677558
4.908000; 9706.806013; 1263.092336
4.920000; 9721.963121; 821.231208
4.932000; 9731.817896; 1683.282586
4.944000; 9752.017287; 990.508797
