# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
1.466500000;  0.8959543081; 0.9365701032; 0.8909790446; 0.8977586426
1.467000000;  0.8959437225; 0.9365574078; 0.8909675400; 0.8977465637
1.467500000;  0.8959331077; 0.9365447127; 0.8909560394; 0.8977344860
1.468000000;  0.8959224639; 0.9365320176; 0.8909445426; 0.8977224094
1.468500000;  0.8959117918; 0.9365193228; 0.8909330498; 0.8977103338
1.469000000;  0.8959010919; 0.9365066281; 0.8909215609; 0.8976982593
1.469500000;  0.8958903649; 0.9364939336; 0.8909100759; 0.8976861860
1.470000000;  0.8958796116; 0.9364812393; 0.8908985948; 0.8976741137
1.470500000;  0.8958688324; 0.9364685452; 0.8908871176; 0.8976620424
1.471000000;  0.8958580278; 0.9364558512; 0.8908756443; 0.8976499723
1.471500000;  0.8958471987; 0.9364431574; 0.8908641750; 0.8976379033
1.472000000;  0.8958363455; 0.9364304637; 0.8908527094; 0.8976258353
1.472500000;  0.8958254687; 0.9364177703; 0.8908412478; 0.8976137684
1.473000000;  0.8958145688; 0.9364050770; 0.8908297901; 0.8976017026
1.473500000;  0.8958036463; 0.9363923839; 0.8908183362; 0.8975896379
1.474000000;  0.8957927017; 0.9363796909; 0.8908068862; 0.8975775742
1.474500000;  0.8957817355; 0.9363669981; 0.8907954401; 0.8975655116
1.475000000;  0.8957707479; 0.9363543055; 0.8907839979; 0.8975534501
1.475500000;  0.8957597391; 0.9363416131; 0.8907725595; 0.8975413897
1.476000000;  0.8957487096; 0.9363289208; 0.8907611249; 0.8975293304
1.476500000;  0.8957376594; 0.9363162287; 0.8907496942; 0.8975172721
1.477000000;  0.8957265886; 0.9363035368; 0.8907382674; 0.8975052149
1.477500000;  0.8957154973; 0.9362908451; 0.8907268443; 0.8974931588
1.478000000;  0.8957043853; 0.9362781535; 0.8907154252; 0.8974811037
1.478500000;  0.8956932526; 0.9362654621; 0.8907040098; 0.8974690497
1.479000000;  0.8956820993; 0.9362527709; 0.8906925983; 0.8974569968
1.479500000;  0.8956709251; 0.9362400798; 0.8906811906; 0.8974449450
1.480000000;  0.8956597296; 0.9362273889; 0.8906697867; 0.8974328942
1.480500000;  0.8956485127; 0.9362146982; 0.8906583867; 0.8974208445
1.481000000;  0.8956372742; 0.9362020077; 0.8906469904; 0.8974087958
1.481500000;  0.8956260139; 0.9361893173; 0.8906355980; 0.8973967482
1.482000000;  0.8956147313; 0.9361766271; 0.8906242093; 0.8973847017
1.482500000;  0.8956034261; 0.9361639371; 0.8906128245; 0.8973726563
1.483000000;  0.8955920982; 0.9361512472; 0.8906014434; 0.8973606119
1.483500000;  0.8955807476; 0.9361385576; 0.8905900662; 0.8973485685
