# Tau / ps;  Vector autocorrelation;  1-exp fit;  2-exp fit;  3-exp fit
0.08050000000;  0.9793050219; 0.9628514109; 0.9583640400; 0.8757741595
0.08100000000;  0.9791044201; 0.9626229163; 0.9581095101; 0.8750467021
0.08150000000;  0.9789015655; 0.9623944759; 0.9578550477; 0.8743198833
0.08200000000;  0.9786965376; 0.9621660897; 0.9576006530; 0.8735937023
0.08250000000;  0.9784894229; 0.9619377578; 0.9573463257; 0.8728681588
0.08300000000;  0.9782803187; 0.9617094800; 0.9570920661; 0.8721432520
0.08350000000;  0.9780693250; 0.9614812564; 0.9568378740; 0.8714189814
0.08400000000;  0.9778565382; 0.9612530870; 0.9565837493; 0.8706953464
0.08450000000;  0.9776420585; 0.9610249717; 0.9563296922; 0.8699723466
0.08500000000;  0.9774259993; 0.9607969105; 0.9560757026; 0.8692499812
0.08550000000;  0.9772084839; 0.9605689035; 0.9558217804; 0.8685282498
0.08600000000;  0.9769896352; 0.9603409506; 0.9555679256; 0.8678071517
0.08650000000;  0.9767695731; 0.9601130517; 0.9553141383; 0.8670866865
0.08700000000;  0.9765484238; 0.9598852070; 0.9550604183; 0.8663668534
0.08750000000;  0.9763263242; 0.9596574163; 0.9548067658; 0.8656476521
0.08800000000;  0.9761034126; 0.9594296797; 0.9545531806; 0.8649290818
0.08850000000;  0.9758798197; 0.9592019971; 0.9542996628; 0.8642111421
0.08900000000;  0.9756556731; 0.9589743686; 0.9540462123; 0.8634938324
0.08950000000;  0.9754311097; 0.9587467940; 0.9537928291; 0.8627771520
0.09000000000;  0.9752062748; 0.9585192735; 0.9535395132; 0.8620611005
0.09050000000;  0.9749813098; 0.9582918070; 0.9532862646; 0.8613456773
0.09100000000;  0.9747563463; 0.9580643944; 0.9530330832; 0.8606308818
0.09150000000;  0.9745315156; 0.9578370358; 0.9527799691; 0.8599167135
0.09200000000;  0.9743069563; 0.9576097312; 0.9525269222; 0.8592031717
0.09250000000;  0.9740828062; 0.9573824805; 0.9522739425; 0.8584902560
0.09300000000;  0.9738591905; 0.9571552838; 0.9520210300; 0.8577779658
0.09350000000;  0.9736362241; 0.9569281409; 0.9517681847; 0.8570663004
0.09400000000;  0.9734140256; 0.9567010520; 0.9515154066; 0.8563552594
0.09450000000;  0.9731927205; 0.9564740170; 0.9512626955; 0.8556448422
0.09500000000;  0.9729724294; 0.9562470358; 0.9510100516; 0.8549350482
0.09550000000;  0.9727532598; 0.9560201085; 0.9507574748; 0.8542258769
0.09600000000;  0.9725353154; 0.9557932350; 0.9505049650; 0.8535173277
0.09650000000;  0.9723187057; 0.9555664154; 0.9502525224; 0.8528094001
0.09700000000;  0.9721035376; 0.9553396496; 0.9500001467; 0.8521020935
0.09750000000;  0.9718898985; 0.9551129377; 0.9497478381; 0.8513954073
0.09800000000;  0.9716778581; 0.9548862795; 0.9494955965; 0.8506893410
0.09850000000;  0.9714674857; 0.9546596751; 0.9492434219; 0.8499838941
0.09900000000;  0.9712588575; 0.9544331245; 0.9489913143; 0.8492790659
0.09950000000;  0.9710520429; 0.9542066277; 0.9487392737; 0.8485748559
0.1000000000;  0.9708470924; 0.9539801846; 0.9484872999; 0.8478712636
0.1005000000;  0.9706440475; 0.9537537952; 0.9482353931; 0.8471682885
0.1010000000;  0.9704429565; 0.9535274596; 0.9479835532; 0.8464659298
0.1015000000;  0.9702438697; 0.9533011776; 0.9477317802; 0.8457641873
0.1020000000;  0.9700468215; 0.9530749494; 0.9474800740; 0.8450630601
0.1025000000;  0.9698518278; 0.9528487749; 0.9472284347; 0.8443625479
0.1030000000;  0.9696589059; 0.9526226540; 0.9469768623; 0.8436626500
0.1035000000;  0.9694680836; 0.9523965868; 0.9467253566; 0.8429633660
0.1040000000;  0.9692793844; 0.9521705733; 0.9464739178; 0.8422646952
0.1045000000;  0.9690928115; 0.9519446134; 0.9462225457; 0.8415666371
0.1050000000;  0.9689083607; 0.9517187071; 0.9459712404; 0.8408691911
0.1055000000;  0.9687260398; 0.9514928544; 0.9457200018; 0.8401723568
0.1060000000;  0.9685458614; 0.9512670553; 0.9454688300; 0.8394761335
0.1065000000;  0.9683678189; 0.9510413098; 0.9452177248; 0.8387805208
0.1070000000;  0.9681918810; 0.9508156179; 0.9449666864; 0.8380855180
0.1075000000;  0.9680180186; 0.9505899795; 0.9447157146; 0.8373911247
0.1080000000;  0.9678462168; 0.9503643947; 0.9444648095; 0.8366973402
0.1085000000;  0.9676764569; 0.9501388634; 0.9442139710; 0.8360041640
0.1090000000;  0.9675086945; 0.9499133856; 0.9439631991; 0.8353115957
0.1095000000;  0.9673428732; 0.9496879613; 0.9437124939; 0.8346196346
0.1100000000;  0.9671789499; 0.9494625906; 0.9434618552; 0.8339282801
0.1105000000;  0.9670168879; 0.9492372733; 0.9432112831; 0.8332375319
0.1110000000;  0.9668566338; 0.9490120095; 0.9429607775; 0.8325473892
0.1115000000;  0.9666981154; 0.9487867991; 0.9427103385; 0.8318578516
0.1120000000;  0.9665412672; 0.9485616422; 0.9424599660; 0.8311689186
0.1125000000;  0.9663860414; 0.9483365387; 0.9422096600; 0.8304805895
0.1130000000;  0.9662323911; 0.9481114887; 0.9419594204; 0.8297928639
0.1135000000;  0.9660802502; 0.9478864920; 0.9417092473; 0.8291057412
0.1140000000;  0.9659295446; 0.9476615487; 0.9414591407; 0.8284192208
0.1145000000;  0.9657802179; 0.9474366589; 0.9412091005; 0.8277333023
0.1150000000;  0.9656322258; 0.9472118223; 0.9409591267; 0.8270479850
0.1155000000;  0.9654855107; 0.9469870392; 0.9407092193; 0.8263632685
0.1160000000;  0.9653399921; 0.9467623094; 0.9404593782; 0.8256791522
0.1165000000;  0.9651955938; 0.9465376329; 0.9402096035; 0.8249956356
0.1170000000;  0.9650522605; 0.9463130097; 0.9399598952; 0.8243127181
0.1175000000;  0.9649099417; 0.9460884399; 0.9397102531; 0.8236303992
0.1180000000;  0.9647685663; 0.9458639233; 0.9394606774; 0.8229486784
0.1185000000;  0.9646280495; 0.9456394600; 0.9392111680; 0.8222675551
0.1190000000;  0.9644883236; 0.9454150500; 0.9389617248; 0.8215870288
0.1195000000;  0.9643493382; 0.9451906933; 0.9387123479; 0.8209070989
0.1200000000;  0.9642110314; 0.9449663897; 0.9384630372; 0.8202277650
0.1205000000;  0.9640733170; 0.9447421394; 0.9382137927; 0.8195490265
0.1210000000;  0.9639361122; 0.9445179424; 0.9379646144; 0.8188708828
0.1215000000;  0.9637993611; 0.9442937985; 0.9377155023; 0.8181933334
0.1220000000;  0.9636630182; 0.9440697078; 0.9374664563; 0.8175163778
0.1225000000;  0.9635270197; 0.9438456703; 0.9372174765; 0.8168400155
0.1230000000;  0.9633912878; 0.9436216860; 0.9369685629; 0.8161642459
0.1235000000;  0.9632557648; 0.9433977548; 0.9367197153; 0.8154890685
0.1240000000;  0.9631204180; 0.9431738768; 0.9364709338; 0.8148144828
0.1245000000;  0.9629852059; 0.9429500519; 0.9362222184; 0.8141404882
0.1250000000;  0.9628500561; 0.9427262801; 0.9359735691; 0.8134670842
0.1255000000;  0.9627148969; 0.9425025614; 0.9357249857; 0.8127942703
0.1260000000;  0.9625796879; 0.9422788958; 0.9354764685; 0.8121220460
0.1265000000;  0.9624444027; 0.9420552833; 0.9352280172; 0.8114504106
0.1270000000;  0.9623089907; 0.9418317238; 0.9349796319; 0.8107793638
0.1275000000;  0.9621733813; 0.9416082174; 0.9347313125; 0.8101089049
0.1280000000;  0.9620375280; 0.9413847641; 0.9344830591; 0.8094390335
0.1285000000;  0.9619014172; 0.9411613637; 0.9342348717; 0.8087697489
0.1290000000;  0.9617650265; 0.9409380164; 0.9339867502; 0.8081010508
0.1295000000;  0.9616282969; 0.9407147221; 0.9337386945; 0.8074329385
0.1300000000;  0.9614911683; 0.9404914808; 0.9334907048; 0.8067654116
0.1305000000;  0.9613536199; 0.9402682924; 0.9332427809; 0.8060984695
0.1310000000;  0.9612156526; 0.9400451570; 0.9329949228; 0.8054321117
0.1315000000;  0.9610772417; 0.9398220746; 0.9327471306; 0.8047663376
0.1320000000;  0.9609383387; 0.9395990451; 0.9324994042; 0.8041011468
0.1325000000;  0.9607989229; 0.9393760685; 0.9322517436; 0.8034365387
0.1330000000;  0.9606590147; 0.9391531449; 0.9320041488; 0.8027725128
0.1335000000;  0.9605186237; 0.9389302742; 0.9317566197; 0.8021090686
0.1340000000;  0.9603777154; 0.9387074563; 0.9315091563; 0.8014462055
0.1345000000;  0.9602362522; 0.9384846913; 0.9312617587; 0.8007839231
0.1350000000;  0.9600942390; 0.9382619792; 0.9310144268; 0.8001222208
0.1355000000;  0.9599517028; 0.9380393199; 0.9307671606; 0.7994610981
0.1360000000;  0.9598086416; 0.9378167135; 0.9305199600; 0.7988005545
0.1365000000;  0.9596650283; 0.9375941599; 0.9302728251; 0.7981405895
0.1370000000;  0.9595208624; 0.9373716591; 0.9300257559; 0.7974812025
0.1375000000;  0.9593761853; 0.9371492111; 0.9297787522; 0.7968223930
0.1380000000;  0.9592310326; 0.9369268160; 0.9295318142; 0.7961641605
0.1385000000;  0.9590854026; 0.9367044735; 0.9292849417; 0.7955065045
0.1390000000;  0.9589392911; 0.9364821839; 0.9290381348; 0.7948494245
0.1395000000;  0.9587927311; 0.9362599470; 0.9287913935; 0.7941929200
0.1400000000;  0.9586457781; 0.9360377628; 0.9285447177; 0.7935369904
0.1405000000;  0.9584984662; 0.9358156314; 0.9282981074; 0.7928816352
0.1410000000;  0.9583508097; 0.9355935527; 0.9280515626; 0.7922268539
0.1415000000;  0.9582028434; 0.9353715266; 0.9278050833; 0.7915726461
0.1420000000;  0.9580546365; 0.9351495533; 0.9275586694; 0.7909190111
0.1425000000;  0.9579062530; 0.9349276327; 0.9273123210; 0.7902659485
0.1430000000;  0.9577577249; 0.9347057647; 0.9270660380; 0.7896134578
0.1435000000;  0.9576090790; 0.9344839493; 0.9268198204; 0.7889615384
0.1440000000;  0.9574603720; 0.9342621866; 0.9265736682; 0.7883101899
0.1445000000;  0.9573116771; 0.9340404766; 0.9263275814; 0.7876594117
0.1450000000;  0.9571630447; 0.9338188191; 0.9260815600; 0.7870092033
0.1455000000;  0.9570145038; 0.9335972143; 0.9258356039; 0.7863595642
0.1460000000;  0.9568660971; 0.9333756620; 0.9255897131; 0.7857104940
0.1465000000;  0.9567178934; 0.9331541623; 0.9253438876; 0.7850619920
0.1470000000;  0.9565699579; 0.9329327152; 0.9250981274; 0.7844140578
0.1475000000;  0.9564223298; 0.9327113206; 0.9248524325; 0.7837666908
0.1480000000;  0.9562750449; 0.9324899786; 0.9246068028; 0.7831198906
0.1485000000;  0.9561281623; 0.9322686890; 0.9243612384; 0.7824736567
0.1490000000;  0.9559817543; 0.9320474521; 0.9241157391; 0.7818279886
0.1495000000;  0.9558358773; 0.9318262676; 0.9238703051; 0.7811828856
